日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
102/05/02,"38,796,887","4,272,592,070",110.00,111.00,109.00,110.50,+1.00,"10,471"
102/05/03,"36,621,737","4,072,080,617",111.50,112.50,110.00,110.00,-0.50,"9,832"
102/05/06,"19,393,798","2,156,914,078",111.50,111.50,110.50,111.50,+1.50,"6,706"
102/05/07,"22,448,180","2,521,248,290",112.00,113.00,111.00,112.50,+1.00,"7,353"
102/05/08,"42,509,709","4,842,348,356",112.50,115.00,112.50,114.50,+2.00,"11,870"
102/05/09,"27,606,177","3,186,565,567",116.00,116.00,114.50,115.00,+0.50,"9,101"
102/05/10,"27,536,736","3,146,083,904",115.00,115.00,113.50,114.50,-0.50,"7,521"
102/05/13,"18,263,266","2,094,696,397",115.00,115.50,114.00,114.50,0.00,"3,993"
102/05/14,"27,855,127","3,224,146,605",115.50,116.50,115.00,115.50,+1.00,"7,881"
102/05/15,"29,107,560","3,338,273,993",115.00,116.00,113.50,115.00,-0.50,"6,849"
102/05/16,"45,770,439","5,227,824,787",115.00,116.00,113.00,113.50,-1.50,"10,033"
102/05/17,"19,316,452","2,177,150,076",112.00,113.50,111.50,113.50,0.00,"6,145"
102/05/20,"16,882,054","1,911,454,937",112.50,114.00,112.50,114.00,+0.50,"4,897"
102/05/21,"17,238,193","1,941,365,116",113.00,113.50,112.00,112.50,-1.50,"5,038"
102/05/22,"34,068,421","3,821,447,086",112.50,113.50,111.00,112.00,-0.50,"8,462"
102/05/23,"46,874,809","5,132,481,372",110.50,111.50,108.00,108.00,-4.00,"12,254"
102/05/24,"26,736,102","2,929,037,118",109.50,110.50,108.50,109.50,+1.50,"7,786"
102/05/27,"19,161,396","2,129,098,594",109.50,112.00,109.50,112.00,+2.50,"6,339"
102/05/28,"22,762,131","2,520,915,219",112.00,112.50,109.50,109.50,-2.50,"5,944"
102/05/29,"16,781,832","1,865,802,389",110.50,112.00,110.50,111.00,+1.50,"4,809"
102/05/30,"36,121,568","3,987,922,980",111.00,111.50,109.50,110.00,-1.00,"6,534"
102/05/31,"37,205,933","4,086,301,119",111.50,111.50,109.00,109.50,-0.50,"7,620"
