日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/08/01,"30,107,526","7,722,031,382",257.50,257.50,255.50,256.50,-3.00,"11,372"
108/08/02,"54,165,644","13,627,068,452",252.00,253.50,250.50,251.50,-5.00,"18,096"
108/08/05,"52,835,721","13,092,403,583",251.00,252.00,245.50,246.50,-5.00,"20,136"
108/08/06,"58,916,879","14,440,787,992",240.00,250.00,240.00,248.50,+2.00,"22,358"
108/08/07,"29,435,460","7,305,272,500",250.00,250.50,246.50,248.00,-0.50,"11,208"
108/08/08,"30,140,266","7,599,200,564",248.00,254.00,248.00,253.50,+5.50,"11,228"
108/08/12,"24,732,603","6,242,935,989",254.50,254.50,251.00,251.00,-2.50,"8,415"
108/08/13,"25,045,107","6,204,239,476",249.00,249.50,246.50,246.50,-4.50,"11,377"
108/08/14,"36,336,703","9,142,333,535",252.50,254.00,249.50,249.50,+3.00,"13,609"
108/08/15,"28,277,412","6,994,442,633",247.00,248.50,246.00,248.00,-1.50,"10,852"
108/08/16,"25,696,715","6,420,744,887",249.50,252.00,248.00,250.00,+2.00,"8,994"
108/08/19,"25,098,514","6,326,683,127",251.50,253.00,250.50,252.00,+2.00,"9,398"
108/08/20,"20,620,494","5,233,263,533",254.00,254.50,252.50,254.50,+2.50,"8,214"
108/08/21,"20,269,296","5,152,545,480",254.50,255.00,253.00,254.50,0.00,"7,383"
108/08/22,"22,136,840","5,659,296,700",257.00,257.50,254.00,254.00,-0.50,"8,794"
108/08/23,"14,772,877","3,748,071,178",253.50,254.50,253.00,254.00,0.00,"5,663"
108/08/26,"31,740,620","7,910,873,500",249.00,250.50,248.50,248.50,-5.50,"13,388"
108/08/27,"53,664,951","13,410,582,151",250.50,251.00,248.50,250.00,+1.50,"8,939"
108/08/28,"15,280,882","3,852,096,070",250.50,253.00,250.50,252.00,+2.00,"6,829"
108/08/29,"20,085,767","5,078,703,588",253.00,254.00,251.00,254.00,+2.00,"6,596"
108/08/30,"35,299,201","9,092,482,858",256.50,259.00,256.00,259.00,+5.00,"13,703"
