日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/05/02,"38,436,942","8,633,492,540",227.00,227.50,222.50,223.00,-4.00,"11,445"
107/05/03,"33,507,731","7,399,813,831",221.00,222.50,220.00,220.50,-2.50,"12,287"
107/05/04,"28,477,722","6,330,594,053",221.00,224.00,220.50,223.00,+2.50,"8,445"
107/05/07,"23,751,759","5,309,421,525",225.00,225.50,221.50,223.50,+0.50,"8,951"
107/05/08,"40,324,763","9,146,327,464",224.00,228.50,223.50,228.00,+4.50,"13,229"
107/05/09,"35,597,934","8,188,991,070",228.50,232.00,228.50,229.50,+1.50,"12,616"
107/05/10,"27,530,377","6,337,230,710",231.00,231.50,229.00,229.50,0.00,"11,051"
107/05/11,"30,693,910","7,138,428,530",232.00,234.00,230.50,233.00,+3.50,"11,920"
107/05/14,"23,577,637","5,502,726,121",234.50,234.50,232.50,233.00,0.00,"7,666"
107/05/15,"23,771,769","5,493,470,187",233.50,234.00,229.50,230.50,-2.50,"7,810"
107/05/16,"14,834,107","3,408,682,013",229.50,230.50,228.50,230.50,0.00,"5,398"
107/05/17,"27,702,737","6,322,484,836",231.00,231.50,226.50,226.50,-4.00,"8,428"
107/05/18,"28,187,541","6,327,474,145",225.50,227.50,223.50,223.50,-3.00,"9,720"
107/05/21,"16,417,815","3,751,438,835",225.00,230.00,225.00,229.00,+5.50,"7,591"
107/05/22,"22,422,097","5,175,634,112",230.00,233.50,229.00,229.00,0.00,"6,963"
107/05/23,"26,737,899","6,146,178,621",231.50,231.50,228.50,228.50,-0.50,"5,059"
107/05/24,"13,450,610","3,082,675,140",229.50,230.00,228.50,229.00,+0.50,"4,240"
107/05/25,"16,486,294","3,769,909,946",228.50,229.50,228.00,228.50,-0.50,"5,474"
107/05/28,"17,673,270","4,020,203,060",229.50,230.00,226.50,227.00,-1.50,"7,239"
107/05/29,"25,770,776","5,782,293,276",226.50,226.50,223.50,225.00,-2.00,"11,400"
107/05/30,"49,667,788","10,997,306,304",224.00,224.00,220.50,221.00,-4.00,"21,406"
107/05/31,"96,587,458","21,553,655,265",221.50,224.00,220.50,224.00,+3.00,"12,737"
