日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/05/02,"27,376,394","7,122,135,656",261.50,262.50,258.50,259.00,0.00,"9,110"
108/05/03,"30,200,246","7,940,572,444",262.00,265.00,260.50,265.00,+6.00,"10,068"
108/05/06,"33,688,187","8,717,053,470",260.00,260.00,258.00,259.00,-6.00,"12,535"
108/05/07,"25,686,126","6,719,199,455",259.50,263.00,259.00,262.50,+3.50,"8,339"
108/05/08,"25,902,364","6,750,083,504",260.00,261.50,259.50,260.00,-2.50,"7,905"
108/05/09,"34,166,574","8,798,140,796",259.50,259.50,256.00,256.50,-3.50,"10,995"
108/05/10,"18,868,212","4,844,594,484",257.00,259.00,255.00,256.00,-0.50,"8,009"
108/05/13,"29,317,535","7,374,249,589",253.00,254.00,249.50,250.50,-5.50,"11,974"
108/05/14,"45,620,708","11,345,067,455",247.50,251.00,245.00,248.50,-2.00,"14,283"
108/05/15,"37,223,479","9,327,051,888",251.00,252.00,249.00,249.00,+0.50,"12,041"
108/05/16,"30,331,519","7,520,908,612",248.50,249.50,246.00,247.00,-2.00,"11,402"
108/05/17,"40,006,856","9,775,372,898",249.00,249.00,241.50,241.50,-5.50,"15,217"
108/05/20,"47,097,661","11,303,513,908",242.50,243.00,238.00,238.00,-3.50,"13,099"
108/05/21,"82,872,775","19,418,705,158",233.50,236.00,232.50,234.00,-4.00,"25,418"
108/05/22,"36,289,034","8,669,172,710",236.50,240.50,235.50,238.00,+4.00,"14,019"
108/05/23,"62,258,627","14,379,543,985",233.50,233.50,230.00,230.00,-8.00,"24,974"
108/05/24,"38,226,789","8,866,253,632",230.00,234.00,230.00,233.00,+3.00,"14,586"
108/05/27,"37,447,033","8,697,538,216",234.00,235.00,231.00,231.00,-2.00,"13,895"
108/05/28,"99,322,033","22,910,765,567",232.00,232.00,230.50,230.50,-0.50,"10,122"
108/05/29,"32,260,236","7,385,029,780",228.00,230.50,227.00,229.50,-1.00,"10,233"
108/05/30,"40,375,328","9,292,745,636",230.00,231.50,229.00,231.00,+1.50,"8,772"
108/05/31,"49,163,217","11,559,578,381",232.00,237.50,231.00,235.50,+4.50,"14,365"
