日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/05/03,"29,502,561","15,790,689,728",538.00,540.00,530.00,531.00,-7.00,"48,050"
111/05/04,"17,305,449","9,229,779,558",533.00,537.00,530.00,534.00,+3.00,"27,460"
111/05/05,"22,540,182","12,209,716,759",543.00,544.00,539.00,542.00,+8.00,"26,904"
111/05/06,"34,512,038","18,241,210,653",528.00,531.00,526.00,528.00,-14.00,"66,208"
111/05/09,"27,309,304","14,249,571,058",523.00,524.00,520.00,520.00,-8.00,"82,004"
111/05/10,"44,322,247","22,673,191,861",506.00,519.00,505.00,518.00,-2.00,"83,371"
111/05/11,"28,109,896","14,662,149,551",518.00,526.00,518.00,521.00,+3.00,"40,227"
111/05/12,"35,824,788","18,310,112,210",516.00,518.00,505.00,505.00,-16.00,"107,513"
111/05/13,"30,204,773","15,412,261,905",507.00,514.00,506.00,511.00,+6.00,"37,707"
111/05/16,"22,012,610","11,472,463,517",521.00,524.00,518.00,520.00,+9.00,"30,034"
111/05/17,"25,812,051","13,627,135,311",521.00,533.00,520.00,530.00,+10.00,"30,826"
111/05/18,"33,605,299","18,075,946,322",541.00,541.00,534.00,538.00,+8.00,"34,913"
111/05/19,"40,798,132","21,322,524,192",523.00,527.00,520.00,522.00,-16.00,"47,232"
111/05/20,"26,111,163","13,784,969,436",524.00,532.00,523.00,530.00,+8.00,"21,767"
111/05/23,"18,919,447","10,040,778,291",533.00,534.00,528.00,528.00,-2.00,"18,775"
111/05/24,"19,130,619","10,036,942,322",530.00,531.00,520.00,520.00,-8.00,"31,716"
111/05/25,"22,460,245","11,782,306,905",522.00,529.00,520.00,524.00,+4.00,"18,352"
111/05/26,"31,542,825","16,336,162,581",523.00,525.00,513.00,514.00,-10.00,"72,846"
111/05/27,"30,113,220","15,855,257,581",524.00,530.00,522.00,530.00,+16.00,"28,711"
111/05/30,"36,480,411","19,757,635,264",538.00,547.00,537.00,547.00,+17.00,"42,797"
111/05/31,"81,962,870","45,507,333,341",542.00,560.00,540.00,560.00,+13.00,"34,286"
