日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/09/01,"50,129,577","21,681,382,412",430.00,435.00,428.00,435.00,+8.50,"17,137"
109/09/02,"42,013,407","18,268,716,092",441.00,441.00,430.50,433.00,-2.00,"20,242"
109/09/03,"40,683,617","17,768,951,582",439.50,439.50,433.50,436.00,+3.00,"17,810"
109/09/04,"51,349,911","22,051,596,821",427.00,432.50,427.00,429.00,-7.00,"27,893"
109/09/07,"39,854,584","17,060,627,028",428.00,432.50,425.00,426.00,-3.00,"20,003"
109/09/08,"23,714,670","10,208,232,440",428.00,433.00,427.50,431.00,+5.00,"12,440"
109/09/09,"40,727,362","17,312,991,408",425.00,428.00,423.00,427.00,-4.00,"21,740"
109/09/10,"35,281,921","15,275,112,115",432.50,435.00,430.50,435.00,+8.00,"18,244"
109/09/11,"34,893,469","15,171,902,036",435.50,436.50,432.50,436.50,+1.50,"14,647"
109/09/14,"39,325,833","17,282,659,859",436.00,442.00,435.50,441.00,+4.50,"19,854"
109/09/15,"39,661,449","17,608,049,536",440.50,447.00,439.50,445.00,+4.00,"21,845"
109/09/16,"70,608,238","32,379,722,344",460.00,462.00,455.50,458.00,+13.00,"38,172"
109/09/17,"44,420,506","20,006,793,320",453.00,455.00,446.50,448.50,X0.00,"26,718"
109/09/18,"52,999,922","23,598,268,654",447.00,449.50,443.00,444.00,-4.50,"20,849"
109/09/21,"40,193,920","17,842,486,882",443.50,450.00,440.00,440.00,-4.00,"25,834"
109/09/22,"36,842,639","16,140,184,501",440.00,441.00,436.00,437.00,-3.00,"22,692"
109/09/23,"47,426,963","20,592,831,368",436.00,438.50,432.00,433.50,-3.50,"27,828"
109/09/24,"82,510,381","35,076,048,246",425.50,429.00,423.00,423.00,-10.50,"54,922"
109/09/25,"41,263,269","17,522,224,043",427.00,428.00,421.00,424.00,+1.00,"23,290"
109/09/28,"34,427,479","14,758,341,446",427.00,431.50,424.50,431.50,+7.50,"19,286"
109/09/29,"42,730,502","18,419,905,574",432.50,435.00,428.00,431.00,-0.50,"18,647"
109/09/30,"28,859,204","12,496,613,056",430.50,435.00,430.50,433.00,+2.00,"14,203"
