日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
101/01/02,"14,945,219","1,121,673,328",75.00,75.40,74.70,75.00,-0.80,"3,402"
101/01/03,"21,223,640","1,605,206,995",75.50,75.90,75.20,75.70,+0.70,"5,659"
101/01/04,"34,126,472","2,584,467,506",76.10,76.10,75.50,75.80,+0.10,"7,311"
101/01/05,"28,076,670","2,126,987,204",76.00,76.00,75.30,76.00,+0.20,"7,053"
101/01/06,"30,123,118","2,269,477,313",75.90,75.90,74.90,75.60,-0.40,"7,701"
101/01/09,"27,655,856","2,074,522,035",75.20,75.60,74.60,75.60,0.00,"5,106"
101/01/10,"62,064,369","4,729,115,971",76.00,76.50,75.80,76.50,+0.90,"14,505"
101/01/11,"44,295,291","3,388,935,115",76.80,77.00,76.10,76.50,0.00,"9,749"
101/01/12,"55,520,616","4,267,531,914",76.70,77.10,76.50,77.00,+0.50,"14,357"
101/01/13,"57,757,708","4,483,256,615",77.20,78.00,77.00,77.50,+0.50,"15,399"
101/01/16,"37,711,367","2,844,327,425",76.10,76.90,74.60,75.30,-2.20,"10,092"
101/01/17,"43,995,131","3,316,458,851",75.90,75.90,74.90,75.60,+0.30,"9,194"
101/01/18,"57,181,592","4,356,043,463",75.90,76.70,75.60,76.70,+1.10,"13,544"
101/01/30,"147,548,010","11,573,235,542",78.00,79.50,77.20,78.70,+2.00,"22,750"
101/01/31,"87,917,010","6,835,437,530",78.10,78.50,76.30,78.50,-0.20,"12,126"
